,PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
22,M1G,Scarborough,Woburn,43.7709921,-79.2169174,1,Coffee Shop,Soccer Field,Korean BBQ Restaurant,Monument / Landmark,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store,Metro Station
23,M4G,East York,Leaside,43.7090604,-79.3634517,1,Coffee Shop,Sporting Goods Shop,Burger Joint,Bank,Fish & Chips Shop,Supermarket,Liquor Store,Beer Store,Bike Shop,Sports Bar
24,M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,1,Coffee Shop,Spa,Café,Japanese Restaurant,Portuguese Restaurant,Park,Department Store,Chinese Restaurant,Dessert Shop,Sandwich Place
25,M6G,Downtown Toronto,Christie,43.669542,-79.4225637,0,Grocery Store,Café,Park,Baby Store,Italian Restaurant,Nightclub,Restaurant,Candy Store,Coffee Shop,Train Station
26,M1H,Scarborough,Cedarbrae,43.773136,-79.2394761,0,Thai Restaurant,Bakery,Hakka Restaurant,Athletics & Sports,Bank,Gas Station,Caribbean Restaurant,Fried Chicken Joint,Mobile Phone Shop,Modern European Restaurant
27,M2H,North York,Hillcrest Village,43.8037622,-79.3634517,1,Athletics & Sports,Fast Food Restaurant,Dog Run,Golf Course,Mediterranean Restaurant,Pool,Martial Arts School,Massage Studio,Medical Center,Monument / Landmark
28,M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,1,Coffee Shop,Bank,Grocery Store,Fried Chicken Joint,Park,Deli / Bodega,Restaurant,Diner,Sandwich Place,Mobile Phone Shop
29,M4H,East York,Thorncliffe Park,43.7053689,-79.3493719,1,Indian Restaurant,Yoga Studio,Bank,Coffee Shop,Discount Store,Fast Food Restaurant,Gas Station,Gym,Intersection,Liquor Store
30,M5H,Downtown Toronto,"Richmond, Adelaide, King",43.6505712,-79.3845675,0,Café,Steakhouse,Pizza Place,Vegetarian / Vegan Restaurant,Hotel,Coffee Shop,Food Court,Speakeasy,Restaurant,Gastropub
31,M6H,West Toronto,"Dufferin, Dovercourt Village",43.6690051,-79.4422593,0,Bakery,Pharmacy,Grocery Store,Middle Eastern Restaurant,Music Venue,Park,Café,Brewery,Supermarket,Bar
32,M1J,Scarborough,Scarborough Village,43.7447342,-79.2394761,1,Playground,Spa,Yoga Studio,Market,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store,Metro Station
33,M2J,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,1,Clothing Store,Coffee Shop,Bank,Restaurant,Juice Bar,Toy / Game Store,Bakery,Chocolate Shop,Japanese Restaurant,Theater
34,M3J,North York,"Northwood Park, York University",43.7679803,-79.4872619,1,Coffee Shop,Caribbean Restaurant,Massage Studio,Metro Station,Bar,Furniture / Home Store,Falafel Restaurant,Park,Mobile Phone Shop,Martial Arts School
35,M4J,East York/East Toronto,The Danforth  East,43.685347,-79.3381065,1,Rental Car Location,Pizza Place,Park,Metro Station,Convenience Store,Yoga Studio,Mobile Phone Shop,Miscellaneous Shop,Middle Eastern Restaurant,Mexican Restaurant
36,M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.3817523,0,Café,Plaza,Park,Hotel,Japanese Restaurant,Basketball Stadium,Supermarket,Sports Bar,Bistro,Salad Place
37,M6J,West Toronto,"Little Portugal, Trinity",43.6479267,-79.4197497,1,Pizza Place,Coffee Shop,Asian Restaurant,Vietnamese Restaurant,Bar,Malay Restaurant,Bakery,Korean Restaurant,Beer Store,French Restaurant
38,M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.2620294,1,Chinese Restaurant,Hobby Shop,Bus Station,Discount Store,Convenience Store,Department Store,Coffee Shop,Mexican Restaurant,Middle Eastern Restaurant,Metro Station
39,M2K,North York,Bayview Village,43.7869473,-79.385975,0,Japanese Restaurant,Chinese Restaurant,Bank,Café,Yoga Studio,Medical Center,Mediterranean Restaurant,Men's Store,Metro Station,Mexican Restaurant
40,M3K,North York,Downsview East,43.7374732,-79.4647633,2,Park,Airport,Business Service,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store,Motel,Metro Station
41,M4K,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188,1,Greek Restaurant,Ice Cream Shop,Italian Restaurant,Bubble Tea Shop,Café,Caribbean Restaurant,Coffee Shop,Cosmetics Shop,Dessert Shop,Fruit & Vegetable Store
42,M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6471768,-79.3815764,0,Café,Restaurant,Coffee Shop,Bakery,Japanese Restaurant,Pizza Place,Beer Bar,Museum,Sandwich Place,Bar
43,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.4281914,0,Café,Breakfast Spot,Coffee Shop,Grocery Store,Intersection,Burrito Place,Stadium,Bar,Bakery,Nightclub
44,M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.7111117,-79.2845772,0,Bakery,Bus Line,Soccer Field,Ice Cream Shop,Bus Station,Yoga Studio,Monument / Landmark,Medical Center,Mediterranean Restaurant,Men's Store
46,M3L,North York,Downsview West,43.7390146,-79.5069436,2,Park,Bank,Shopping Mall,Yoga Studio,Modern European Restaurant,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store
47,M4L,East Toronto,"India Bazaar, The Beaches West",43.6689985,-79.3155716,1,Park,Pizza Place,Fast Food Restaurant,Burrito Place,Steakhouse,Sandwich Place,Liquor Store,Brewery,Movie Theater,Restaurant
48,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.3798169,0,Café,Coffee Shop,Gym,Restaurant,American Restaurant,Japanese Restaurant,Hotel,Gastropub,Pub,Steakhouse
49,M6L,North York,"North Park, Maple Leaf Park, Upwood Park",43.7137562,-79.4900738,0,Basketball Court,Construction & Landscaping,Park,Bakery,Yoga Studio,Monument / Landmark,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store
50,M9L,North York,Humber Summit,43.7563033,-79.5659633,4,Pizza Place,Yoga Studio,Monument / Landmark,Market,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store,Metro Station
51,M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.2394761,0,Motel,American Restaurant,Yoga Studio,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store,Metro Station,Mexican Restaurant
52,M2M,North York,"Willowdale, Newtonbrook",43.789053,-79.4084928,2,Park,Yoga Studio,Monument / Landmark,Market,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store,Metro Station
53,M3M,North York,Downsview Central,43.7284964,-79.4956974,1,Baseball Field,Home Service,Food Truck,Yoga Studio,Monument / Landmark,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store
54,M4M,East Toronto,Studio District,43.6595255,-79.340923,0,Coffee Shop,Bakery,Café,American Restaurant,Latin American Restaurant,Stationery Store,Bookstore,Brewery,Middle Eastern Restaurant,Seafood Restaurant
55,M5M,North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497,1,Italian Restaurant,Coffee Shop,Sandwich Place,Grocery Store,Pizza Place,Pharmacy,Pub,Restaurant,Café,Butcher
56,M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.4760133,1,Coffee Shop,Discount Store,Restaurant,Sandwich Place,Monument / Landmark,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store,Metro Station
57,M9M,North York,"Humberlea, Emery",43.7247659,-79.5322424,1,Baseball Field,Food Service,Yoga Studio,Modern European Restaurant,Market,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store
58,M1N,Scarborough,"Birch Cliff, Cliffside West",43.692657,-79.2648481,0,General Entertainment,Skating Rink,College Stadium,Café,Modern European Restaurant,Mobile Phone Shop,Miscellaneous Shop,Middle Eastern Restaurant,Mexican Restaurant,Yoga Studio
59,M2N,North York,Willowdale South,43.7701199,-79.4084928,1,Ramen Restaurant,Pizza Place,Coffee Shop,Café,Plaza,Pet Store,Movie Theater,Restaurant,Discount Store,Juice Bar
60,M3N,North York,Downsview Northwest,43.7616313,-79.5209994,1,Grocery Store,Athletics & Sports,Discount Store,Coffee Shop,Warehouse Store,Monument / Landmark,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant
61,M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901,1,Business Service,Park,Swim School,Bus Line,Monument / Landmark,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store
62,M5N,Central Toronto,Roselawn,43.7116948,-79.4169356,1,Pool,Garden,Home Service,Yoga Studio,Mexican Restaurant,Modern European Restaurant,Mobile Phone Shop,Miscellaneous Shop,Middle Eastern Restaurant,Metro Station
63,M6N,York,"Runnymede, The Junction North",43.6731853,-79.4872619,1,Grocery Store,Brewery,Convenience Store,Bus Line,Motel,Medical Center,Mediterranean Restaurant,Men's Store,Metro Station,Mexican Restaurant
64,M9N,York,Weston,43.706876,-79.5181884,1,Convenience Store,Yoga Studio,Motel,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store,Metro Station,Mexican Restaurant
65,M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.273304,1,Indian Restaurant,Pet Store,Brewery,Vietnamese Restaurant,Chinese Restaurant,Medical Center,Mediterranean Restaurant,Men's Store,Motel,Massage Studio
66,M2P,North York,York Mills West,43.7527583,-79.4000493,2,Park,Convenience Store,Yoga Studio,Monument / Landmark,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store,Metro Station
67,M4P,Central Toronto,Davisville North,43.7127511,-79.3901975,1,Playground,Breakfast Spot,Department Store,Dance Studio,Food & Drink Shop,Hotel,Sandwich Place,Park,Gym / Fitness Center,Metro Station
68,M5P,Central Toronto,Forest Hill North & West,43.6969476,-79.4113072,1,Sushi Restaurant,Trail,Jewelry Store,Bus Line,Yoga Studio,Modern European Restaurant,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant
69,M6P,West Toronto,"High Park, The Junction South",43.6616083,-79.4647633,0,Mexican Restaurant,Café,Thai Restaurant,Grocery Store,Diner,Speakeasy,Bookstore,Flea Market,Fried Chicken Joint,Cajun / Creole Restaurant
70,M9P,Etobicoke,Westmount,43.696319,-79.5322424,1,Pizza Place,Coffee Shop,Intersection,Chinese Restaurant,Sandwich Place,Discount Store,Middle Eastern Restaurant,Playground,Hockey Arena,Men's Store
71,M1R,Scarborough,"Wexford, Maryvale",43.7500715,-79.2958491,0,Sandwich Place,Smoke Shop,Bakery,Middle Eastern Restaurant,Auto Garage,Malay Restaurant,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant
72,M2R,North York,Willowdale West,43.7827364,-79.4422593,1,Grocery Store,Pizza Place,Discount Store,Pharmacy,Coffee Shop,Vietnamese Restaurant,Lounge,Market,Martial Arts School,Massage Studio
73,M4R,Central Toronto,North Toronto West,43.7153834,-79.4056784,1,Coffee Shop,Clothing Store,Yoga Studio,Fast Food Restaurant,Pet Store,Park,Chinese Restaurant,Restaurant,Café,Salon / Barbershop
74,M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.4056784,1,Sandwich Place,Café,Coffee Shop,Middle Eastern Restaurant,BBQ Joint,Burger Joint,Liquor Store,Cheese Shop,Indian Restaurant,Donut Shop
75,M6R,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325,1,Gift Shop,Breakfast Spot,Bookstore,Dessert Shop,Dog Run,Italian Restaurant,Restaurant,Bar,Cuban Restaurant,Movie Theater
76,M7R,Mississauga,Enclave of L4W,43.6369656,-79.615819,1,Coffee Shop,Hotel,Intersection,American Restaurant,Sandwich Place,Gas Station,Burrito Place,Mediterranean Restaurant,Gym,Fried Chicken Joint
77,M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6889054,-79.5547244,1,Sandwich Place,Park,Mobile Phone Shop,Bus Line,Monument / Landmark,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store
78,M1S,Scarborough,Agincourt,43.7942003,-79.2620294,1,Lounge,Clothing Store,Latin American Restaurant,Breakfast Spot,Skating Rink,Yoga Studio,Monument / Landmark,Medical Center,Mediterranean Restaurant,Men's Store
79,M4S,Central Toronto,Davisville,43.7043244,-79.3887901,1,Dessert Shop,Italian Restaurant,Pizza Place,Gym,Sandwich Place,Café,Coffee Shop,Sushi Restaurant,Thai Restaurant,Farmers Market
80,M5S,Downtown Toronto,"University of Toronto, Harbord",43.6626956,-79.4000493,0,Café,Japanese Restaurant,Sandwich Place,Bar,Bakery,Bookstore,French Restaurant,Sushi Restaurant,Bank,Restaurant
81,M6S,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499,1,Café,Italian Restaurant,Sushi Restaurant,Pizza Place,Coffee Shop,Pub,Dessert Shop,Diner,Restaurant,Sandwich Place
82,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,1,Fast Food Restaurant,Pizza Place,Shopping Mall,Pharmacy,Fried Chicken Joint,Convenience Store,Italian Restaurant,Noodle House,Chinese Restaurant,Bank
83,M4T,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.3831599,2,Park,Restaurant,Playground,Yoga Studio,Modern European Restaurant,Market,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant
84,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493,0,Café,Vietnamese Restaurant,Bakery,Grocery Store,Gourmet Shop,Mexican Restaurant,Food Truck,Farmers Market,Belgian Restaurant,Caribbean Restaurant
85,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772,2,Playground,Park,Intersection,Modern European Restaurant,Market,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store
86,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.6864123,-79.4000493,1,Coffee Shop,Fried Chicken Joint,Pub,Restaurant,Sandwich Place,Liquor Store,Pizza Place,Supermarket,Sushi Restaurant,Bank
87,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199,1,Airport Service,Airport Lounge,Airport Terminal,Harbor / Marina,Bar,Plane,Coffee Shop,Rental Car Location,Sculpture Garden,Boutique
88,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.6056466,-79.5013207,1,Coffee Shop,Café,Pet Store,Bakery,Restaurant,Fast Food Restaurant,Liquor Store,Pizza Place,Gym,Business Service
89,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.7394164,-79.5884369,1,Grocery Store,Beer Store,Fried Chicken Joint,Fast Food Restaurant,Pharmacy,Pizza Place,Sandwich Place,Coffee Shop,Truck Stop,Warehouse Store
90,M1W,Scarborough,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,1,Fast Food Restaurant,Chinese Restaurant,Cosmetics Shop,Bank,Intersection,Supermarket,Breakfast Spot,Sandwich Place,Coffee Shop,Pharmacy
91,M4W,Downtown Toronto,Rosedale,43.6795626,-79.3775294,2,Park,Playground,Trail,Modern European Restaurant,Malay Restaurant,Market,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant
92,M5W,Downtown Toronto Stn A,Enclave of M5E,43.6464352,-79.374846,0,Beer Bar,Farmers Market,Seafood Restaurant,Café,Cocktail Bar,Yoga Studio,Fish Market,French Restaurant,Cheese Shop,Restaurant
93,M8W,Etobicoke,"Alderwood, Long Branch",43.6024137,-79.5434841,1,Pizza Place,Pharmacy,Skating Rink,Sandwich Place,Pub,Gym,Coffee Shop,Massage Studio,Medical Center,Mediterranean Restaurant
94,M9W,Etobicoke Northwest,"Clairville, Humberwood, Woodbine Downs, West Humber, Kipling Heights, Rexdale, Elms, Tandridge, Old Rexdale",43.7067483,-79.5940544,1,Drugstore,Bar,Truck Stop,Rental Car Location,Yoga Studio,Modern European Restaurant,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant
96,M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.667967,-79.3676753,0,Café,Restaurant,Bakery,Italian Restaurant,Market,Thai Restaurant,Snack Place,Butcher,Liquor Store,Beer Store
97,M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802,0,Café,Coffee Shop,Restaurant,Hotel,Seafood Restaurant,Speakeasy,Pub,Steakhouse,Japanese Restaurant,Bakery
98,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.6536536,-79.5069436,2,Park,Smoke Shop,River,Yoga Studio,Modern European Restaurant,Market,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant
99,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.3831599,1,Sushi Restaurant,Bookstore,Beer Bar,Martial Arts School,Breakfast Spot,Men's Store,Bubble Tea Shop,Burger Joint,Mexican Restaurant,Escape Room
100,M7Y,East Toronto Business,Enclave of M4L,43.6627439,-79.321558,1,Yoga Studio,Garden Center,Park,Recording Studio,Restaurant,Butcher,Burrito Place,Skate Park,Smoke Shop,Brewery
101,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.6362579,-79.4985091,1,Pool,Baseball Field,Breakfast Spot,Monument / Landmark,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store,Metro Station
102,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6288408,-79.5209994,1,Grocery Store,Convenience Store,Tanning Salon,Bakery,Sandwich Place,Kids Store,Supplement Shop,Burger Joint,Fast Food Restaurant,Social Club
